Topic,Top Words
0,"merits, case, but, bielski, exhaustion, resolve, litigants, faa, error, courts"
1,"oracle, copying, copyrighted, copied, java, copyrightable, software, android, google, functionality"
2,"gundy, nondelegation, delegation, wayman, delegated, brizuela, deference, chevron, mistretta, auer"
3,"orden, bladensburg, commandments, allegheny, memorial, crche, display, legion, memorials, symbol"
4,"fetus, viability, fetal, womb, unborn, quickening, roe, gestational, fetuses, aborted"
5,"grutter, admissions, harvard, bakke, racial, vard, race, universities, bollinger, fisher"
6,"remonstrance, worship, ligion, unalienable, religion, conscience, gion, everson, reprinted, sects"
7,"abood, bargaining, unions, collective, lehnert, dues, afscme, union, nonmember, nonmembers"
8,"lujan, redressed, standing, warth, injury, seldin, redressability, concrete, redressable, robins"
9,"quill, bellas, sellers, retailer, retailers, remit, taxing, sales, dakota, ssuta"
10,"donor, donors, naacp, afp, afpf, shelton, exacting, contributors, charitable, reprisals"
11,"gerrymandering, gerrymander, vieth, partisan, gerryman, gerrymanders, redistricting, districting, map, tricting"
12,"firearms, handguns, concealed, carry, handgun, weapons, kachalsky, carrying, pistols, firearm"
13,"stare, decisis, overruling, payne, kimble, inexorable, workability, marvel, overrule, precedent"
14,"partes, cuozzo, ipr, ptab, iprs, patentability, cbm, reexamination, aia, patent"
15,"wedding, cada, cakes, weddings, hurley, cake, celebrating, designer, celebrate, artwork"
16,"smiley, airc, hildebrant, elections, holm, rucho, redistricting, lawmaking, gubernatorial, legislatures"
17,"disgorgement, disgorge, kokesh, monetary, restitution, restorative, amg, porter, mertens, liu"
18,"zarda, orientation, hively, oncale, stereotype, stereotyping, sex, sexual, waterhouse, manhart"
19,"tabor, hosanna, ministerial, perich, kedroff, biel, minister, church, catholic, ministers"
20,"emission, emissions, bser, achievable, cpp, fenceline, dioxide, plants, electricity, westmoreland"
21,"invention, inventor, pfaff, helsinn, patenting, inventions, patent, aia, inventors, patentability"
22,"rebels, oath, rebellion, tillman, presidency, elector, blackman, insurrection, paulsen, confederacy"
23,"pork, dormant, producers, pike, protectionist, sow, carbone, packers, proposition, farms"
24,"css, lukumi, babalu, aye, hialeah, cakeshop, masterpiece, philadelphia, fulton, gious"
25,"globe, reconstruction, bingham, freedmen, trumbull, sumner, lash, cong, suffrage, sess"
26,"hellerstedt, credentialing, admitting, abortions, clinics, abortion, woman, mazurek, casey, clinic"
27,"daca, dapa, rescinding, rescission, batalla, dhs, capricious, mpp, rescind, memorandum"
28,"garnier, mnn, lindke, lugar, brentwood, forums, channels, forum, media, actor"
29,"enablement, genus, embodiments, amgen, antibodies, skilled, experimentation, artisans, antibody, specification"
30,"sentencing, tencing, sentences, sentence, sentenc, sentenced, crack, guideline, dillon, tence"
31,"hardison, twa, hardship, groff, undue, minimis, sundays, seniority, sabbath, coworkers"
32,"cy, pres, distributions, infeasible, settlements, settlement, class, distribution, unclaimed, gaos"
33,"parody, humorous, parodic, jdpi, toy, parodies, vip, rogers, spaniels, humor"
34,"veasey, voting, gingles, chisom, thornburg, vote, husted, grandy, vra, disparate"
35,"wetlands, rapanos, tributaries, waters, wetland, tributary, navigable, wet, arid, ephemeral"
